Zipcode,Total Nightlife,Total Restaurant,Total Grocery
60601,48,150,7
60602,11,78,0
60603,22,96,1
60604,5,41,0
60605,34,112,7
60606,22,163,3
60607,81,221,6
60608,34,151,22
60609,10,90,8
60610,71,131,11
60611,96,308,7
60612,12,77,8
60613,77,148,13
60614,113,191,13
60615,12,75,7
60616,39,159,25
60617,10,102,11
60618,87,233,19
60619,12,91,6
60620,8,79,10
60621,2,25,3
60622,108,232,16
60623,6,93,12
60624,1,24,4
60625,46,159,17
60626,22,90,15
60628,4,63,4
60629,9,115,13
60630,32,86,11
60631,15,46,2
60632,16,157,20
60633,8,13,2
60634,32,130,10
60636,1,37,4
60637,6,52,4
60638,31,104,7
60639,15,163,24
60640,51,189,24
60641,33,112,12
60642,31,85,4
60643,14,65,5
60644,3,38,3
60645,7,48,7
60646,11,43,6
60647,117,215,34
60649,2,52,3
60651,3,49,7
60652,3,53,2
60653,4,41,4
60654,126,228,4
60655,10,27,1
60656,6,29,3
60657,137,281,14
60659,15,130,21
60660,21,90,15
60661,24,124,7
60706,14,65,9
60707,22,67,7
60803,6,44,4
60804,11,53,7
60805,6,37,11
