Zipcode,Median Rent,Median Home Value
60601,1944.0,391100.0
60602,1666.0,NaN
60603,1630.0,NaN
60604,1835.0,NaN
60605,1865.0,284100.0
60606,1910.0,406900.0
60607,1937.0,355900.0
60608,1698.0,258600.0
60609,1455.0,165800.0
60610,1874.0,296800.0
60611,1928.0,351800.0
60612,1713.0,260700.0
60613,1640.0,229200.0
60614,2193.0,431900.0
60615,1576.0,192100.0
60616,1741.0,276400.0
60617,1395.0,NaN
60618,1977.0,392600.0
60619,1429.0,129900.0
60620,1424.0,125600.0
60621,1348.0,NaN
60622,2221.0,446700.0
60623,1441.0,NaN
60624,1470.0,127100.0
60625,1841.0,295200.0
60626,1495.0,176900.0
60628,1391.0,NaN
60629,1488.0,170000.0
60630,1946.0,298300.0
60631,2045.0,332700.0
60632,1528.0,176800.0
60633,1395.0,110500.0
60634,1858.0,267600.0
60636,1349.0,NaN
60637,1443.0,133600.0
60638,1634.0,215200.0
60639,1719.0,232300.0
60640,1642.0,237200.0
60641,1880.0,278700.0
60642,2209.0,453200.0
60643,1478.0,148700.0
60644,1507.0,131100.0
60645,1620.0,215600.0
60646,2250.0,385700.0
60647,1955.0,393800.0
60649,1372.0,NaN
60651,1536.0,163500.0
60652,1520.0,172600.0
60653,1666.0,231300.0
60654,1867.0,341400.0
60655,1755.0,238800.0
60656,1890.0,284600.0
60657,1990.0,352800.0
60659,1860.0,277100.0
60660,1567.0,203700.0
60661,1855.0,322800.0
60706,1898.0,279300.0
60707,1839.0,249300.0
60803,1560.0,163700.0
60804,1481.0,177300.0
60805,1566.0,182600.0
