Zipcode,Type,County,2010 Population
60601,Standard,Cook,11110
60602,Standard,Cook,1204
60603,Standard,Cook,493
60604,Standard,Cook,570
60605,Standard,Cook,24668
60606,Standard,Cook,2308
60607,Standard,Cook,23897
60608,Standard,Cook,82739
60609,Standard,Cook,64906
60610,Standard,Cook,37726
60611,Standard,Cook,28718
60612,Standard,Cook,33472
60613,Standard,Cook,48281
60614,Standard,Cook,66617
60615,Standard,Cook,40603
60616,Standard,Cook,48433
60617,Standard,Cook,84155
60618,Standard,Cook,92084
60619,Standard,Cook,63825
60620,Standard,Cook,72216
60621,Standard,Cook,35912
60622,Standard,Cook,52548
60623,Standard,Cook,92108
60624,Standard,Cook,38105
60625,Standard,Cook,78651
60626,Standard,Cook,50139
60628,Standard,Cook,72202
60629,Standard,Cook,113916
60630,Standard,Cook,54093
60631,Standard,Cook,28641
60632,Standard,Cook,91326
60633,Standard,Cook,12927
60634,Standard,Cook,74298
60636,Standard,Cook,40916
60637,Standard,Cook,49503
60638,Standard,Cook,55026
60639,Standard,Cook,90407
60640,Standard,Cook,65790
60641,Standard,Cook,71663
60642,Standard,Cook,18480
60643,Standard,Cook,49952
60644,Standard,Cook,48648
60645,Standard,Cook,45274
60646,Standard,Cook,27177
60647,Standard,Cook,87291
60649,Standard,Cook,46650
60651,Standard,Cook,64267
60652,Standard,Cook,40959
60653,Standard,Cook,29908
60654,Standard,Cook,14875
60655,Standard,Cook,28550
60656,Standard,Cook,27613
60657,Standard,Cook,65996
60659,Standard,Cook,38104
60660,Standard,Cook,42752
60661,Standard,Cook,7792
60706,Standard,Cook,23134
60707,Standard,Cook,42920
60803,Standard,Cook,22285
60804,Standard,Cook,84573
60805,Standard,Cook,19852
