ZipCode,Total Nightlife,Total Restaurant
60601,47,149
60602,11,78
60603,22,97
60604,5,41
60605,34,113
60606,22,163
60607,81,220
60608,34,151
60609,9,90
60610,70,129
60611,96,307
60612,12,77
60613,76,148
60614,113,192
60615,12,75
60616,40,159
60617,10,104
60618,87,232
60619,12,91
60620,8,79
60621,2,25
60622,108,231
60623,6,93
60624,1,24
60625,46,159
60626,22,90
60628,4,62
60629,9,115
60630,32,87
60631,15,47
60632,16,156
60633,8,13
60634,32,131
60636,1,36
60637,6,52
60638,31,103
60639,15,162
60640,51,189
60641,33,111
60642,31,85
60643,14,65
60644,3,38
60645,7,48
60646,11,43
60647,116,216
60649,2,52
60651,3,50
60652,3,53
60653,4,41
60654,127,228
60655,10,27
60656,6,29
60657,137,280
60659,15,131
60660,21,91
60661,24,124
60706,14,65
60707,22,67
60803,6,44
60804,11,53
60805,6,38
